session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,time_stamp,seconds_on_page,subsession_pk,auto_submitted
2,8,yuigh0ob,30,BFI_S,Introduction,1564770916,1,2,FALSE
2,8,yuigh0ob,31,BFI_S,Questionaire,1564770935,19,2,FALSE
2,8,yuigh0ob,32,final_payoff,Results,1564770938,3,2,FALSE
2,8,yuigh0ob,33,payment_info,PaymentInfo,1564770940,2,2,FALSE
2,9,na9z6vef,1,Demographic,Introduction,1564769147,702,2,FALSE
2,9,na9z6vef,2,Demographic,Questionaire,1564769174,27,2,FALSE
2,9,na9z6vef,3,matrix_new,Start,1564769195,21,2,FALSE
2,9,na9z6vef,4,matrix_new,training,1564769233,38,2,FALSE
2,9,na9z6vef,5,matrix_new,training2,1564769245,12,2,FALSE
2,9,na9z6vef,6,matrix_new,training3,1564769251,6,2,FALSE
2,9,na9z6vef,7,matrix_new,q1,1564769273,22,2,FALSE
2,9,na9z6vef,8,matrix_new,q2,1564769294,21,2,FALSE
2,9,na9z6vef,9,matrix_new,q3,1564769359,65,2,FALSE
2,9,na9z6vef,10,matrix_new,q4,1564769395,36,2,FALSE
2,9,na9z6vef,11,matrix_new,q5,1564769405,10,2,FALSE
2,9,na9z6vef,12,matrix_new,q6,1564769432,27,2,FALSE
2,9,na9z6vef,13,matrix_new,q7,1564769445,13,2,FALSE
2,9,na9z6vef,14,matrix_new,q8,1564769491,46,2,FALSE
2,9,na9z6vef,15,matrix_new,q9,1564769513,22,2,FALSE
2,9,na9z6vef,16,matrix_new,q10,1564769530,17,2,FALSE
2,9,na9z6vef,17,matrix_new,Results,1564769548,18,2,FALSE
2,9,na9z6vef,18,matrix_new,Payoff2,1564769587,39,2,FALSE
2,9,na9z6vef,19,discreteT,Introduction,1564769762,175,2,FALSE
2,9,na9z6vef,20,discreteT,Introduction2,1564769797,35,2,FALSE
2,9,na9z6vef,21,discreteT,Discrete,1564769844,47,2,FALSE
2,9,na9z6vef,22,discreteT,Belief,1564769901,57,2,FALSE
2,9,na9z6vef,23,discreteT,Belief3,1564769987,86,2,FALSE
2,9,na9z6vef,24,discreteT,Results,1564770011,24,2,FALSE
2,9,na9z6vef,25,openquestion,Introduction,1564770263,252,2,FALSE
2,9,na9z6vef,26,openquestion,Likert,1564770344,81,2,FALSE
2,9,na9z6vef,27,scl,Instructions,1564770920,576,2,FALSE
2,9,na9z6vef,28,scl,Decision,1564770955,35,2,FALSE
2,9,na9z6vef,29,scl,Results,1564770974,19,2,FALSE
2,9,na9z6vef,30,BFI_S,Introduction,1564770978,4,2,FALSE
2,9,na9z6vef,31,BFI_S,Questionaire,1564771025,47,2,FALSE
2,9,na9z6vef,32,final_payoff,Results,1564771065,40,2,FALSE
2,9,na9z6vef,33,payment_info,PaymentInfo,1564771072,7,2,FALSE
2,10,i8bm9jca,1,Demographic,Introduction,1564768462,17,2,FALSE
2,10,i8bm9jca,2,Demographic,Questionaire,1564768478,16,2,FALSE
2,10,i8bm9jca,3,matrix_new,Start,1564768496,18,2,FALSE
2,10,i8bm9jca,4,matrix_new,training,1564768520,24,2,FALSE
2,10,i8bm9jca,5,matrix_new,training2,1564768522,2,2,FALSE
2,10,i8bm9jca,6,matrix_new,training3,1564768523,1,2,FALSE
2,10,i8bm9jca,7,matrix_new,q1,1564768537,14,2,FALSE
2,10,i8bm9jca,8,matrix_new,q2,1564768552,15,2,FALSE
2,10,i8bm9jca,9,matrix_new,q3,1564768563,11,2,FALSE
2,10,i8bm9jca,10,matrix_new,q4,1564768571,8,2,FALSE
2,10,i8bm9jca,11,matrix_new,q5,1564768578,7,2,FALSE
2,10,i8bm9jca,12,matrix_new,q6,1564768590,12,2,FALSE
2,10,i8bm9jca,13,matrix_new,q7,1564768615,25,2,FALSE
2,10,i8bm9jca,14,matrix_new,q8,1564768632,17,2,FALSE
2,10,i8bm9jca,15,matrix_new,q9,1564768643,11,2,FALSE
2,10,i8bm9jca,16,matrix_new,q10,1564768655,12,2,FALSE
